,node_id,x,y,z
0,N_4004,-0.020136433,0.014596478,0.4998233
1,N_4558,-0.036503166,0.032565206,0.467388
2,N_1066,-0.023421478,0.017973488,0.4595512
3,N_6214,-0.07247499,0.015400761,0.4977565
4,N_2765,-0.074714154,-0.010684088,0.490064
5,N_4219,-0.009009244,0.008590877,0.46811086
6,N_2023,-0.016359283,0.027172664,0.49306336
7,N_4425,-0.08343106,0.0631236,0.46650398
8,N_1946,-0.11595574,0.03770027,0.48822823
9,N_0862,-0.050261054,-0.062479068,0.49606764
10,N_4370,-0.007482941,0.027991215,0.49857634
11,N_4981,0.037551627,0.0914161,0.46119893
12,N_1175,0.023113875,0.12316503,0.4698712
13,N_5714,0.013458488,0.15248747,0.48790827
14,N_4958,-0.039693397,0.16394235,0.441159
15,N_3766,-0.06925447,0.16475,0.49325693
16,N_6560,-0.103465945,0.08836375,0.48131856
17,N_5263,-0.12826975,0.080005154,0.44203192
18,N_0232,-0.16925298,0.025278306,0.42932642
19,N_4548,-0.16725977,-0.015043173,0.44644067
20,N_0603,-0.16585702,-0.030096285,0.4473096
21,N_1989,-0.098494075,-0.05473514,0.47319278
22,N_0166,-0.051985282,-0.060277075,0.4670533
23,N_1646,-0.007688923,-0.059726037,0.47654083
24,N_0842,0.057861008,-0.055317357,0.48074546
25,N_1913,0.06274297,0.011344705,0.48605707
26,N_4233,0.04784621,0.051644277,0.47059426
27,N_5908,0.01762842,0.16924587,0.43230924
28,N_5523,-0.0743938,0.18837354,0.46210763
29,N_0858,-0.10899804,0.15225796,0.44239354
30,N_5092,-0.1383675,0.11706748,0.48806027
31,N_6452,-0.19034196,0.06750385,0.4882847
32,N_4638,-0.23505437,0.0360132,0.48299062
33,N_5418,-0.18021701,-0.041446347,0.46672788
34,N_3637,-0.17850132,-0.04614687,0.4753434
35,N_6841,-0.1716973,-0.051371533,0.46951
36,N_0537,-0.19060272,-0.06060482,0.46113896
37,N_3630,-0.19992714,-0.07398846,0.47849455
38,N_5833,-0.20532896,-0.08668919,0.47966725
39,N_2094,-0.19096468,-0.09865228,0.48982674
40,N_2823,-0.16674174,-0.10520856,0.49732822
41,N_0520,-0.05371503,-0.12080417,0.48581833
42,N_4723,-0.0084482925,-0.093755245,0.4656062
43,N_4278,0.0021184948,-0.12698348,0.47340986
44,N_3250,0.048311226,-0.09048042,0.4716295
45,N_4541,0.05277036,-0.07637626,0.49305266
46,N_4647,0.07222768,0.0026610068,0.46152925
47,N_3349,0.09773706,0.030640984,0.4773697
48,N_3499,0.13309993,0.05129953,0.47592142
49,N_3386,0.14087152,0.12500766,0.4422147
50,N_3254,0.11716452,0.14440611,0.4983769
51,N_2234,0.0887762,0.18377337,0.46356788
52,N_5785,0.09419245,0.22073828,0.4576349
53,N_4101,0.06540313,0.23314743,0.42302543
54,N_3465,0.020406073,0.23969486,0.4500756
55,N_1952,-0.00041355944,0.25987652,0.4595129
56,N_1853,-0.026956687,0.25046378,0.49014595
57,N_1984,-0.06637774,0.1989141,0.4240669
58,N_5071,-0.097149596,0.17898266,0.42394435
59,N_6109,-0.14393236,0.1785591,0.41095006
60,N_0840,-0.15843035,0.19387154,0.4451307
61,N_6034,-0.1485183,0.18021995,0.47544444
62,N_0892,-0.17473188,0.16258596,0.4851497
63,N_6312,-0.20855401,0.15182325,0.4878555
64,N_0064,-0.20697677,0.1409633,0.45909953
65,N_3267,-0.20185427,0.088579714,0.46908516
66,N_3224,-0.22369915,-0.0038946744,0.4271378
67,N_4778,-0.18118602,-0.05057177,0.44279432
68,N_4700,-0.16427606,-0.083813675,0.4378736
69,N_1350,-0.17623664,-0.10382945,0.41594627
70,N_1919,-0.18038717,-0.13320798,0.44597805
71,N_5838,-0.06619027,-0.13142863,0.44159666
72,N_2638,-0.06937106,-0.14459664,0.43050507
73,N_0535,-0.025694884,-0.14159705,0.48866612
74,N_2067,-0.016952306,-0.15316942,0.48796985
75,N_3218,0.03237095,-0.1311586,0.46648192
76,N_1507,0.03769214,-0.11953585,0.44418606
77,N_3207,0.06467045,-0.12829393,0.44977874
78,N_6047,0.095921636,-0.10125755,0.46937653
79,N_0116,0.123563185,-0.029208513,0.44536388
80,N_4160,0.1367158,0.010206625,0.49296665
81,N_0494,0.19662112,0.020165522,0.46356422
82,N_2569,0.21703291,0.046167973,0.42353964
83,N_2567,0.21835405,0.04788778,0.4146654
84,N_4595,0.22925176,0.07103338,0.46701124
85,N_0230,0.21300729,0.10877336,0.46784997
86,N_4711,0.15977834,0.14514731,0.43160933
87,N_6887,0.12155106,0.16840927,0.44009724
88,N_5140,0.09365667,0.2103515,0.4002614
89,N_6204,0.092161894,0.25586405,0.41815606
90,N_0951,0.04303874,0.24852097,0.45419422
91,N_6723,-0.001303174,0.24595371,0.42194018
92,N_6272,-0.08612354,0.21097504,0.44143307
93,N_2885,-0.15330653,0.22483985,0.48561907
94,N_5866,-0.20105676,0.13092962,0.4283832
95,N_3801,-0.27199656,0.110372335,0.47390732
96,N_3978,-0.3112362,0.10922033,0.45312384
97,N_5195,-0.33406174,0.08751831,0.4231796
98,N_4554,-0.2613879,0.012410974,0.4068208
99,N_2011,-0.24707647,-0.012525851,0.4005061
100,N_6634,-0.23647906,-0.05185505,0.40475816
101,N_4146,-0.25227264,-0.059642322,0.45837566
102,N_6099,-0.25911826,-0.10607413,0.41824326
103,N_3955,-0.25820062,-0.130637,0.38948125
104,N_0890,-0.2746882,-0.14601353,0.4193279
105,N_1927,-0.26653472,-0.17277981,0.43217522
106,N_5570,-0.25632176,-0.17332643,0.4537374
107,N_3828,-0.22091615,-0.17770998,0.4428292
108,N_5208,-0.15521222,-0.15988629,0.49153876
109,N_6546,-0.13600948,-0.1768411,0.49560797
110,N_0771,-0.13206668,-0.18747845,0.48444405
111,N_2044,-0.11090406,-0.19098213,0.46758646
112,N_4070,-0.10185509,-0.21159819,0.4907674
113,N_4106,-0.026931554,-0.1944102,0.49539346
114,N_2504,-0.01627415,-0.16724046,0.43114668
115,N_4627,0.0024923391,-0.202039,0.42722687
116,N_4952,0.066227,-0.13437958,0.4551786
117,N_2410,0.1475848,-0.051750414,0.4755793
118,N_5933,0.15326242,-0.03488452,0.46778625
119,N_0093,0.15751238,0.0026337008,0.44241658
120,N_6806,0.17613424,0.004972745,0.46954766
121,N_2911,0.24083818,0.024167642,0.49763882
122,N_2739,0.27921924,0.026739467,0.48484054
123,N_5636,0.31306103,0.049471296,0.45383072
124,N_3053,0.24726993,0.11974423,0.4470896
125,N_4536,0.24067609,0.1351873,0.45786184
126,N_5171,0.16744572,0.12714815,0.4141161
127,N_3770,0.16384517,0.19249825,0.4640691
128,N_3364,0.15535998,0.22260635,0.44051886
129,N_4024,0.12076412,0.25643566,0.42364866
130,N_3673,0.060890786,0.2649689,0.39164793
131,N_3370,0.059229076,0.27954897,0.40585425
132,N_2557,0.014763004,0.2784224,0.42799965
133,N_2622,-0.04857325,0.26861447,0.454762
134,N_0821,-0.05652746,0.29845095,0.44926345
135,N_0161,-0.067610905,0.31038713,0.4364767
136,N_0902,-0.059305377,0.25533497,0.38464677
137,N_1840,-0.10175053,0.28920105,0.38087884
138,N_3256,-0.123668544,0.3021645,0.39165604
139,N_4037,-0.1590784,0.2984371,0.4109851
140,N_6931,-0.1685285,0.30925345,0.4034567
141,N_0559,-0.19367677,0.21623828,0.39826155
142,N_4806,-0.21859561,0.18630964,0.41499195
143,N_0360,-0.25500587,0.19430262,0.4325848
144,N_5096,-0.28589287,0.15563093,0.43776917
145,N_6421,-0.2907335,0.15652902,0.42526677
146,N_4710,-0.31615812,0.13723354,0.39420182
147,N_0014,-0.31556013,0.12966108,0.38306385
148,N_4284,-0.31682312,0.10603595,0.37368944
149,N_4674,-0.2912486,0.028331954,0.37699172
150,N_4082,-0.22971408,-0.03895205,0.4632447
151,N_4229,-0.23019865,-0.15244807,0.49959868
152,N_6625,-0.14018594,-0.17743945,0.4891434
153,N_4394,-0.12047739,-0.21410961,0.45347628
154,N_4392,-0.08550673,-0.22248216,0.42658186
155,N_0447,-0.02401126,-0.23974884,0.4483034
156,N_3115,0.012156736,-0.23961689,0.4218469
157,N_0319,0.0341017,-0.20515606,0.41369513
158,N_1584,0.07751557,-0.15691827,0.45834574
159,N_4137,0.10023206,-0.19640744,0.44038263
160,N_1640,0.1421611,-0.17878896,0.4486003
161,N_2481,0.14839052,-0.16060102,0.44849885
162,N_4231,0.14838663,-0.1528678,0.47286612
163,N_2360,0.15209568,-0.078355506,0.48728433
164,N_4368,0.19688587,-0.049861655,0.4906243
165,N_1360,0.25682977,-0.015125269,0.4880256
166,N_0216,0.2923302,-0.016965015,0.4519945
167,N_6810,0.28148252,0.0030927535,0.43350998
168,N_6992,0.3101872,0.024157764,0.41736683
169,N_4095,0.2754621,0.104509115,0.4203334
170,N_5748,0.28775042,0.13235798,0.42476073
171,N_0780,0.2115508,0.17291933,0.436308
172,N_2366,0.21635945,0.19136634,0.43776092
173,N_4537,0.20150505,0.2220205,0.4391877
174,N_6719,0.17387114,0.23877637,0.4166114
175,N_3058,0.1704661,0.25636435,0.43815687
176,N_3573,0.16934323,0.27538666,0.42205805
177,N_3727,0.1465983,0.26106578,0.38676465
178,N_4577,0.068296716,0.29090592,0.380089
179,N_4380,0.03178929,0.30454746,0.4040108
180,N_3789,-0.000603647,0.2804675,0.36688295
181,N_4785,-0.0010763879,0.32205182,0.45791566
182,N_0935,-0.00054256717,0.35474533,0.46736002
183,N_6486,-0.031444874,0.3482276,0.45852926
184,N_3264,-0.062759936,0.32548392,0.43516842
185,N_3782,-0.105845466,0.31531793,0.4131472
186,N_0597,-0.11637084,0.32780945,0.3559414
187,N_4869,-0.15418461,0.33570465,0.38555807
188,N_1326,-0.22183692,0.21063969,0.39901826
189,N_2405,-0.22444767,0.19683248,0.44971657
190,N_4602,-0.2726168,0.2188383,0.48440608
191,N_4485,-0.2818578,0.21732362,0.41732112
192,N_0123,-0.31337285,0.21270826,0.37876728
193,N_6799,-0.31795362,0.14328606,0.38045695
194,N_1809,-0.33945066,0.12628996,0.34956354
195,N_6001,-0.3382784,0.07880761,0.36794892
196,N_1367,-0.33891574,0.06317118,0.40639287
197,N_1176,-0.3146311,0.01096708,0.46098387
198,N_1921,-0.27408516,-0.029611299,0.4407569
199,N_3032,-0.2784919,-0.048446424,0.4767484
200,N_0962,-0.2889793,-0.12837881,0.4644849
201,N_4166,-0.23623843,-0.18408476,0.4977212
202,N_0090,-0.18674147,-0.24270439,0.4699656
203,N_0382,-0.17260581,-0.241742,0.46618116
204,N_0568,-0.16635342,-0.26088804,0.454097
205,N_2819,-0.1434927,-0.28263354,0.45290208
206,N_3116,-0.110403776,-0.31326488,0.4768108
207,N_2477,-0.053191494,-0.28185454,0.43802068
208,N_3594,-0.009106403,-0.2842486,0.44219068
209,N_0932,0.03880905,-0.23434697,0.4790215
210,N_3198,0.08523157,-0.22577079,0.47937936
211,N_3827,0.11445499,-0.20866804,0.4810372
212,N_6784,0.13420992,-0.21040654,0.47457802
213,N_2191,0.16303329,-0.17927855,0.4400747
214,N_2623,0.2003304,-0.18960862,0.48081622
215,N_3764,0.23943478,-0.19602376,0.44939247
216,N_4650,0.23989353,-0.13030562,0.4339852
217,N_5536,0.28039202,-0.11209984,0.42133805
218,N_5798,0.2649951,-0.070498504,0.37485823
219,N_4262,0.32126158,-0.00026332817,0.4184022
220,N_1711,0.3009014,0.018839533,0.4901124
221,N_6677,0.30499625,0.10578267,0.4732711
222,N_5937,0.31643656,0.112998925,0.48668903
223,N_2217,0.21750823,0.17302845,0.4924888
224,N_5658,0.23211408,0.19077668,0.47765908
225,N_3157,0.17796806,0.24711858,0.4733719
226,N_3463,0.110551305,0.29284236,0.4894457
227,N_1080,0.06792869,0.28327647,0.48239386
228,N_5587,0.04756309,0.29573908,0.47593975
229,N_0530,0.0062548355,0.32337472,0.4774161
230,N_3694,-0.032815855,0.37175494,0.49523607
231,N_1181,-0.06749797,0.38427272,0.48804462
232,N_2899,-0.0691354,0.39218313,0.47370598
233,N_1573,-0.07213927,0.35382187,0.44661716
234,N_5120,-0.110459656,0.3448396,0.39302817
235,N_2686,-0.10219886,0.31139648,0.36878356
236,N_4919,-0.15669207,0.3480658,0.39486888
237,N_1497,-0.19642888,0.364839,0.43319038
238,N_4189,-0.21646719,0.3184139,0.4705317
239,N_6335,-0.24397035,0.2515279,0.4487741
240,N_2430,-0.24536243,0.2311949,0.445985
241,N_3870,-0.27312613,0.24295793,0.38529626
242,N_4003,-0.35099673,0.20254843,0.39726698
243,N_6405,-0.35026,0.15705843,0.39644787
244,N_4129,-0.35911718,0.13188057,0.35270816
245,N_3023,-0.37096605,0.104933694,0.37511384
246,N_6997,-0.3329941,0.02984579,0.3665925
247,N_4388,-0.32950816,0.011514199,0.39680916
248,N_4630,-0.29830065,-0.025026226,0.45248908
249,N_4890,-0.31449622,-0.06573117,0.4099523
250,N_6753,-0.33163497,-0.08488609,0.4775585
251,N_6284,-0.3242571,-0.11038677,0.49025694
252,N_4356,-0.28142154,-0.17518221,0.49503466
253,N_1288,-0.24894069,-0.23992004,0.47087383
254,N_6707,-0.13898581,-0.20841011,0.38715765
255,N_5984,-0.123440616,-0.23180526,0.3902392
256,N_3392,-0.10155098,-0.31434435,0.39206994
257,N_0770,-0.040508803,-0.32558528,0.3737752
258,N_2296,-0.010829467,-0.34248805,0.41997597
259,N_2095,-0.0063969223,-0.32504132,0.47208047
260,N_6618,0.040581793,-0.28614777,0.4737659
261,N_1808,0.060680576,-0.29214656,0.48858902
262,N_1494,0.0792731,-0.28205866,0.49366194
263,N_6929,0.092478186,-0.21539241,0.41878796
264,N_1020,0.11433922,-0.20518303,0.3996594
265,N_3138,0.17180516,-0.2066114,0.41297504
266,N_1763,0.19223647,-0.18275216,0.39775422
267,N_0905,0.22394346,-0.1691869,0.40543437
268,N_4092,0.2753927,-0.1358268,0.37394926
269,N_5279,0.27558774,-0.09354092,0.36132812
270,N_1062,0.28006998,-0.0766299,0.36172175
271,N_4358,0.3345005,-0.049212843,0.38642117
272,N_4203,0.3280284,-0.022288179,0.4720634
273,N_6382,0.34325215,0.002564622,0.4642216
274,N_2795,0.3472501,0.017850205,0.4455829
275,N_6255,0.3508321,0.023862831,0.41194043
276,N_2357,0.33410734,0.024616467,0.39000452
277,N_1636,0.35724387,0.043962464,0.40581918
278,N_5169,0.32455882,0.08250922,0.41709092
279,N_5911,0.3239436,0.113486394,0.43267852
280,N_3641,0.32420218,0.12116144,0.43719107
281,N_5599,0.32737887,0.13169193,0.4285648
282,N_6639,0.26993525,0.1901057,0.41376856
283,N_1768,0.20579958,0.18354005,0.39155135
284,N_5986,0.19721438,0.19581391,0.3957888
285,N_4748,0.2286406,0.25784305,0.40375003
286,N_0812,0.1972294,0.2778627,0.42725718
287,N_4487,0.19245392,0.28124455,0.37176797
288,N_5058,0.18698762,0.27725524,0.36297643
289,N_1536,0.11011971,0.3257133,0.40327713
290,N_3042,0.05878341,0.3122326,0.40567705
291,N_3274,0.056304064,0.32196072,0.40530625
292,N_3280,0.03400532,0.32755864,0.3908775
293,N_6178,0.028097797,0.3219646,0.32538754
294,N_2140,0.022133358,0.3405059,0.3192368
295,N_4769,0.019731471,0.34594896,0.3235104
296,N_4147,-0.035763633,0.34173727,0.34731397
297,N_3221,-0.07452345,0.35098553,0.35658318
298,N_3889,-0.14290485,0.36030427,0.3559718
299,N_6906,-0.16170758,0.3709762,0.3571646
300,N_2974,-0.21927318,0.30237824,0.3554347
301,N_2941,-0.24435492,0.2794054,0.36635557
302,N_4917,-0.24278314,0.22897503,0.3390988
303,N_1709,-0.31324682,0.16834696,0.32018605
304,N_4460,-0.3470907,0.15539306,0.3291963
305,N_5793,-0.38044548,0.1562369,0.3555898
306,N_0656,-0.39038733,0.15396477,0.38834217
307,N_6941,-0.40006873,0.15234245,0.4004479
308,N_6057,-0.3947864,0.10009244,0.3891314
309,N_5938,-0.3907129,0.07715968,0.3728934
310,N_4517,-0.35515338,0.027945897,0.3942608
311,N_1869,-0.36498958,0.019059168,0.39756104
312,N_4639,-0.34232607,-0.014996202,0.4319002
313,N_2708,-0.36000812,-0.027247969,0.46296623
314,N_3661,-0.36855057,-0.03549097,0.49838045
315,N_1926,-0.38664022,-0.058443926,0.47599873
316,N_2179,-0.35302714,-0.094917886,0.46496695
317,N_0841,-0.29757556,-0.17702772,0.4839367
318,N_0341,-0.2884024,-0.21099563,0.4253164
319,N_2634,-0.26846263,-0.2126083,0.38246924
320,N_5130,-0.2411541,-0.2316097,0.38795722
321,N_4466,-0.20982489,-0.25036842,0.38106024
322,N_3616,-0.16705927,-0.30022275,0.4103099
323,N_1375,-0.14486456,-0.3194162,0.43891582
324,N_2891,-0.11300929,-0.31932327,0.39266768
